policy,n_jobs_completed,avg_jct_min,p95_jct_min,makespan_min,mean_gpu_utilization,fragmentation_rate,backfill_admissions,cluster,n_hosts,boot_rep
FIFO,700,11059.467880952381,25378.822499999995,37759.88333333334,0.7640800471443899,0.011984021304926764,0,Earth,8,0
QSSF_proxy,700,6399.0545,14975.155833333332,40420.98333333333,0.7137771290612674,0.006657789613848202,308,Earth,8,0
RF_SRPT_proxy,700,6418.507642857142,14704.045833333332,39119.066666666666,0.7375322546251958,0.002663115845539281,346,Earth,8,0
Backfill_FIFO,700,7523.324333333335,17572.64416666667,33528.76666666667,0.8605020794332832,0.002663115845539281,349,Earth,8,0
Wind_proxy,700,7523.324333333335,17572.64416666667,33528.76666666667,0.8605020794332832,0.002663115845539281,349,Earth,8,0
PredSched_LLM,700,6418.507642857142,14704.045833333332,39119.066666666666,0.7375322546251958,0.002663115845539281,346,Earth,8,0
FIFO,700,9644.082142857142,20244.811666666665,33485.216666666674,0.804683428707096,0.013386880856760375,0,Earth,8,1
QSSF_proxy,700,6253.178095238096,14580.161666666669,38211.88333333333,0.7051471062884886,0.006693440428380187,286,Earth,8,1
RF_SRPT_proxy,700,6324.693095238095,14687.56416666667,38005.01666666666,0.7089853214553693,0.0,340,Earth,8,1
Backfill_FIFO,700,7173.3207619047635,16841.214999999997,33267.51666666666,0.8099492134720004,0.013386880856760375,337,Earth,8,1
Wind_proxy,700,7173.3207619047635,16841.214999999997,33267.51666666666,0.8099492134720004,0.013386880856760375,337,Earth,8,1
PredSched_LLM,700,6324.693095238095,14687.56416666667,38005.01666666666,0.7089853214553693,0.0,340,Earth,8,1
FIFO,700,334.48171428571436,1154.6833333333334,18220.133333333335,0.44086948400944775,0.017496635262449527,0,Earth,8,2
QSSF_proxy,700,168.8179285714286,1064.6000000000022,18220.133333333335,0.44086948400944737,0.021534320323014805,140,Earth,8,2
RF_SRPT_proxy,700,167.94309523809528,1064.2908333333303,18220.133333333335,0.4408694840094476,0.018842530282637954,150,Earth,8,2
Backfill_FIFO,700,171.918380952381,1118.380833333333,18220.133333333335,0.44086948400944737,0.020188425302826378,261,Earth,8,2
Wind_proxy,700,172.41702380952384,1154.6833333333334,18220.133333333335,0.44086948400944737,0.021534320323014805,261,Earth,8,2
PredSched_LLM,700,167.94309523809528,1064.2908333333303,18220.133333333335,0.4408694840094476,0.018842530282637954,150,Earth,8,2
